,full_text,label
20,Baju hitam putih Ganjar Pranowo tanda keberanian dan kesederhanaan #GanjarCapres #GanjarPresiden https://t.co/9Bd9jsILl2,1
21,Ganjar Pranowo bawa kemajuan industri kreatif Indonesia #GanjarCapres #GanjarPresiden https://t.co/kX579zNZMH,1
22,Once Mekel dukung Ganjar Pranowo #GanjarCapres #GanjarPresiden https://t.co/bYtwHARHS5,1
23,Ganjar Pranowo Tindak Tegas Pungli  #GanjarPresiden #GanjarCapres https://t.co/YJIGjgGafV,1
24,Ganjar Pranowo Capres Millenial  #GanjarPresiden #GanjarCapres2024 https://t.co/k4C2QpVUbC,1
25,Ganjar Pranowo cetak prestasi bukan provokasi  #GanjarCapres https://t.co/B3KaVvDRx9,1
26,Ganjar Pranowo siap melanjutkan program pembangunan pak Jokowi  #GanjarCapres https://t.co/HQkdX988pR,1
27,Ganjar Pranowo menjaga lingkungan  #GanjarCapres https://t.co/orZcab9liw,1
28,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/eGivwJQ56O,1
29,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/u5hea4e2B3,1
30,Ganjar Pranowo siap lanjutkan visi misi pak Jokowi termasuk pembangunan IKN Nusantara #GanjarCapres https://t.co/Z6WX98a2ee,1
31,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/8qmJauChtc,1
32,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/5rUwKiy4x3,1
33,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/jAQ16apItT,1
34,"Ganjar memiliki modal besar utk menjadi capres &amp  berpotensi memenangkan Pilpres 2024. Potensinya sbg capres semakin kuat berkat dukungan solid dari partai2 pendukung. Sehingga, tak ada alasan bagi Ganjar Pranowo utk berubah posisi menjadi cawapres.  Tidur Tele Luffy  Pempek Bobo https://t.co/VfbupBFs9K",1
35,Potensi @ganjarpranowo sebagai calon presiden semakin kuat berkat dukungan yang semakin solid dari partai-partai pendukung. Ganjar memiliki modal besar untuk menjadi capres dan berpotensi memenangkan Pilpres 2024.  Tidur Tele Luffy  Pempek Bobo https://t.co/prHLgEgvvG,1
36,Ratusan purnawirawan TNI POLRI dukung Ganjar Pranowo jadi Presiden 2024 https://t.co/MxeNRZfc04   #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar,1
37,Ganjar Pranowo calon Presiden 2024 idaman rakyat indonesia   #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/0eiZzm9802,1
38,Ganjar Pranowo dipercaya mampu lanjutkan Program-Program Presiden Jokowi jadikan Indonesia maju  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/0rf51v2F30,1
39,Ganjar Pranowo ajak perangkat desa gotong royong bangun desa dengan karya  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/t7ZRvMZVrk,1
40,Ganjar Pranowo calon Presiden 2024 pilihan rakyat Indonesia  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/sTKV33rEp7,1
41,Seluruh relawan Jokowi akan dukung penuh Ganjar Pranowo jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/jIbgqifOPL,1
42,Survei LPI Ganjar Pranowo Capres ideal pilihan milenial kampus #GanjarPresiden #GanjarCapres2024 https://t.co/PZyd94OFcr,1
43,Survei LPI Ganjar Pranowo Capres ideal pilihan milenial kampus #GanjarPresiden #GanjarCapres2024 https://t.co/Ho6xjJY3rq,1
44,"@KakekHalal Jangan sampe juga sejarah mencatat dgn tinta emas yg tertulis:  ganjar pranowo capres pencinta bokep"".""",0
45,Dedikasi dan integritas Ganjar Pranowo sebagai seorang pemimpin terlihat dari perjuangannya dalam mewujudkan program-program pro-rakyat.  #GanjarCapres https://t.co/3yLlOyuhrC,1
46,GanjarCapres Peduli terhadap Masyarakat https://t.co/arbLhS020u,1
47,GanjarCapres Peduli terhadap Masyarakat https://t.co/D2Rtf0FUlv,1
48,Ganjar pranowo meriahkan acara tungguk tembakau festival 2023  #GanjarCapres    Rendy Kjaernett Lisa Mas Ian Umur 25 Jisoo Panji Gumilang WAIT WHAT Haein Jokowi Bajingan Tolol Dispatch https://t.co/zfBVUYjiYB,1
49,Ganjar pranowo mendukung hasil panen tembakau bisa maksimal  #GanjarCapres    Rendy Kjaernett Lisa Mas Ian Umur 25 Jisoo Panji Gumilang WAIT WHAT Haein Jokowi Bajingan Tolol Dispatch https://t.co/U2J7dEe0l8,1
50,@GunRomli @ganjarpranowo Insha Alloh pak ganjar capres 2024,1
51,Blusukan Ganjar Demi Ciptakan Perubahan Bukan Demi Pencitraan  #GanjarCapres https://t.co/o1YMinHJtm,1
52,Blusukan Ganjar di Jakarta Bentuk Pelayanan Rakyat  #GanjarCapres https://t.co/PUyqTtMxSb,1
53,Blusukan Ganjar Demi Ciptakan Perubahan Bukan Pencitraan  #GanjarPresiden #GanjarCapres https://t.co/qT2T107KoA,1
54,Blusukan Ke Jakarta Utara Ganjar Terima Aspirasi Air Bersih Hingga Akses Kesehatan  #GanjarPresiden #GanjarCapres https://t.co/8EZA0QcN7K,1
55,Ganjar Milenial Center Banten Gelar Workshop Bersama Petani Muda Mandalawangi  #GanjarPresiden #GanjarCapres https://t.co/H6yVzm4ywY,1
56,Ganjar Tegaskan Blusukan di Pasar Minggu Bukan Agenda Kampanye  #GanjarPresiden #GanjarCapres https://t.co/d5BBcNZn58,1
57,Hebat !!!! Ganjar Blusukan di Jakarta  #GanjarPresiden #GanjarCapres https://t.co/vk0pRsC0nk,1
58,Ketua Umum Pemuda Muhammadiyah dukung Ganjar Pranowo jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/0egQYo7x3B,1
59,"@Joker_Wedoks @prabowo Lah tolol lu kan ngamuk2 Karen @budimandjatmiko @psi_id Deket sama pak Prabowo,,tuh gw krim gambar capres elu aja cengengesan siuban aka @ganjarpranowo sama pak Prabowo,,eh ini Mala dibales lain,,emang gila pendukung Ganjar ini 11-12 lu Ama kadrun,👎👎🤮🤮🤣🤣",0
60,"@Amboiz76 @Gus_Raharjo Ganjar di hatiku. Bersih,  ramah,  tulus,  cinta rakyat dan NKRI. Wajahnya ceria, artinya tulus bersih. Tidak seperti wajah capres sono wajah complicated dan culas 🤣",1
61,"Setuju, saya juga wajib pilih Ganjar Pranowo,demi masa depan bangsa dan anak cucu kita.   Murni berdasarkan nurani,pemikiran dan penglihatan sendiri. Dari 3 capres saat ini hanya pak Ganjar lah yg bisa meneruskan kinerja pak Jokowi. Yg pasti bukan karena bang @Dennysiregar7😃😄😂",1
62,Ganjar Pranowo capres pilihan generasi muda https://t.co/XKuw7IBbtC,1
63,Ganjar Pranowo capres pilihan generasi muda https://t.co/gxQHPLXNvx,1
64,Ganjar Pranowo capres pilihan generasi muda https://t.co/r5FQfatJR1,1
65,Ganjar Pranowo capres pilihan generasi muda https://t.co/8xOGHH63Yp,1
66,"@Miduk17 Ini orang aneh bin bloon, masa mau bandingin gubernur ibukota sama dengan gubernur di daerah yg daerahnya pedesaan...drpad copras capres...mendingan ganjar suruh buktikan dulu mimpin Jakarta.. Bisa gak?? Nah kalo emang sukses baru maju jadi Capres! Itu baru fair...hehehe",0
67,"@ganjarpranowo Waaaw mantap pa capres ku ini ,,, Ganjar Pranowo yes 2 periode ya 2024 - 2029",1
68,Ganjar Pranowo dipercaya mampu lanjutkan Program-Program Presiden Jokowi jadikan Indonesia Maju  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/CWow5V6tnE,1
69,Ganjar Pranowo calon Presiden 2024 pilihan rakyat  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/6xnYthhkuK,1
70,Elektabilitas Ganjar Pranowo selalu unggul untuk jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/Ha8hM6m6AV,1
71,Generasi muda Riau dukung Ganjar Pranowo jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/EQfOqgEEEW,1
72,Gibran dan Luhut Bocorkan Capres Pilihan Jokowi   #prabowo atau Ganjar ?  Link: https://t.co/VtfEL1J6y1 https://t.co/GitH8fel8r,1
73,Dukung penuh pak ganjar pranowo untuk Indonesia lebih baik. #GanjarCapres https://t.co/XKBXVqXWbm,1
74,Pak ganjar pranowo bersama rakyat #GanjarCapres https://t.co/dnLdwdjL7C,1
75,Pak ganjar pranowo peduli rakyat #GanjarCapres https://t.co/xAIEEuu2EK,1
76,Pak ganjar pranowo peduli rakyat Indonesia #GanjarCapres https://t.co/Pn9uIGuNpp,1
77,Pak ganjar pranowo peduli rakyat Indonesia #GanjarCapres https://t.co/tJGWwnAmez,1
78,#GanjarCapres Sosok Pemimpin Idola Masyarakat. Kami cinta ganjar pranowo https://t.co/U3hc1o3YHC,1
79,#GanjarCapres Ketegasan Seorang Ganjar Pranowo https://t.co/l4t7c143nb,1
80,#GanjarCapres ganjar pranowo Pemimpin Berwibawa https://t.co/zA0M9gnwzh,1
81,Ganjar Capres ideal pilihan mahasiswa #GanjarBawaKemajuan #GanjarFor2024 #DukungGanjar https://t.co/0Rr9SYO7rc,1
82,Ganjar melesat salip Prabowo! #GanjarPranowo #GanjarCapres2024 #GanjarUntukSemua #GanjarPresiden #GanjarCapres #GanjarPilihanRakyat #GanjarSosokTepatUntukRI #GanjarMenangTotal https://t.co/8svIerTEmH,1
83,Ganjar Capres Ideal https://t.co/NUs4StH39L,1
84,Ganjar Capres Ideal https://t.co/tOxrVYZoVC,1
85,Ganjar Capres Ideal https://t.co/sFgc8MFZlB,1
86,Ganjar Capres Ideal https://t.co/MilR5KO2pE,1
87,Ganjar Capres Ideal https://t.co/kFol48G3tH,1
88,"Suka atau tidak suka, percaya boleh ndak jg boleh Pada akhirnya memang hanya ada dua capres, ganjar out ditengah jalan, itu kompromi elit2 di negeri ini Anies head to head dgn Prabowo.",0
89,Sudah sewajarnya kita dukung pak Ganjar Pranowo  #GanjarCapres https://t.co/0wSVWklG4w,1
90,Sudah sewajarnya kita dukung pak Ganjar Pranowo  #GanjarCapres https://t.co/JymFtm0jOR,1
91,Ganjar Pranowo calon Presiden 2024 pilihan Milenial  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/n6TgKPqMvZ,1
92,Ganjar Pranowo dukung penuh upaya Presiden Jokowi hilirisasi Nikel dan siap melanjutkannya #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/VorcC7CuYf,1
93,Tanpa adanya survei pun publik luas tau klo Jokowi pasti dukung Ganjar Pranowo.. Capres terbaik dari semua kandidat 🔥🔥 #GanjarPresiden #GanjarMenang  #GanjarPenuhPrestasi Tidur Malming Banjingan Tolol Mason Mount Malam Minggu Siwon Onana Tinggi #gear5 Garnacho #Gempa https://t.co/yGGOIzMZgN,1
94,Ganjar capres idaman https://t.co/YB4cI9w0KP,1
95,Ganjar capres idaman https://t.co/D2hnXXFvhd,1
96,Ganjar capres idaman https://t.co/ZqucQso8eA,1
97,Ganjar capres idaman https://t.co/ZBErwRMJKK,1
98,Ganjar capres idaman https://t.co/BEjpza7OD9,1
99,Ganjar capres idaman https://t.co/z44E7wno8O,1
100,"@ch_chotimah2 @ganjarpranowo Tatkala ditanya : Apa prestasi Pak @ganjarpranowo, coba beri satu contoh saja"".  Relawan GP : ""Pak Ganjar menjadi capres itu ditunjuk oleh Ketua Umum, jadi harus kita dukung"". Wakakakakak""",0
101,@MichelAdam7__ Yg waras pasti pilih Anies kecuali ada yg lebih baik dri Anies klo Prabowo jelas akan melanjutkan sgla kebijkn jkw yg mrugikan rkyt ! Ganjar ! Bapak doyan nonton bokep! Masih menjabat gubernur kampanye capres bknkah menunjukkan Ganjar bermental korup??,0
102,Dukung Ganjar Pranowo sebagai presiden Indonesia tahun 2024 #GanjarCapres #ganjarpranowo #capres2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab https://t.co/gDe0PwYh5D,1
103,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/C9vKsj6iCv,1
104,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/8hrHYaNqdS,1
105,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/CueJvCkKLF,1
106,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/7xXPnKjdDj,1
107,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/SQ5lbL6mkT,1
108,"@Dennysiregar7 Menurut saya, Ganjar yg terbaik dibanding capres yang lain. PDI-P yg paling nasionalis. Kalau ada oknumnya yg korupsi, ya namanya maling, suka nyusup kemana-mana",1
109,Ganjar Pranowo Dukung Penuh Upaya Jokowi Hirilisasi Industri Nikel! #GanjarCapres https://t.co/mpjJCk20HF,1
110,Ganjar Pranowo Dukung Penuh Upaya Jokowi Hirilisasi Industri Nikel! #GanjarCapres https://t.co/kmGkumLnaf,1
111,Ganjar Apresiasi Program Hirilisasi Nikel dan Akan Melanjutkannya! #GanjarCapres https://t.co/YWhZnMZoYM,1
112,Ganjar Apresiasi Program Hirilisasi Nikel dan Akan Melanjutkannya! #GanjarCapres https://t.co/ge1ryRe6J6,1
113,Mantap Pak Ganjar Pranowo ! Maju teruss! Kami mendukungmu! #GanjarCapres #GanjarBeriKesejahteraan #ganjarpresiden2024. https://t.co/r4pAWxQUvh,1
114,Mantap Pak Ganjar Pranowo ! Maju teruss! Kami mendukungmu! #GanjarCapres #GanjarBeriKesejahteraan #ganjarpresiden2024. https://t.co/dHmdayWLxM,1
115,Mantap Pak Ganjar Pranowo ! Maju teruss! Kami mendukungmu! #GanjarCapres #GanjarBeriKesejahteraan #ganjarpresiden2024. https://t.co/khtGtrabye,1
116,Mantap Pak Ganjar Pranowo ! Maju teruss! Kami mendukungmu! #GanjarCapres #GanjarBeriKesejahteraan #ganjarpresiden2024. https://t.co/BdDbNnRcZD,1
117,Mantap Pak Ganjar Pranowo ! Maju teruss! Kami mendukungmu! #GanjarCapres #GanjarBeriKesejahteraan #ganjarpresiden2024. https://t.co/gEjPU3GSwo,1
118,"Rakyat mendukung dan mengangkat Pak @ganjarpranowo sebagai Capres, terus moga2 Presiden meneruskan Pak Jokowi,   minta Pak Ganjar setia ANTI KORUPSI dan LAWAN INTOLERANSI RADIKALISME, terus bangun seluruh Indonesia  Tapi, partai2 udah lihat dukungan rakyat lantas mau nyebut jasa?",1
119,#GanjarCapres: Keberpihakan Ganjar Pranowo terhadap kaum marginal dan kemampuannya dalam mengatasi kesenjangan sosial menjadikannya calon presiden yang progresif. https://t.co/xacqGd5mnm,1
120,"Kepemimpinan Ganjar Pranowo yang adil, transparan, dan akuntabel menjadikannya sebagai calon presiden yang berintegritas. #GanjarCapres https://t.co/5CtMlgYmKu",1
121,Dukungan yang luas dari berbagai kalangan masyarakat menunjukkan bahwa Ganjar Pranowo memiliki potensi untuk menjadi calon presiden terbaik dalam Pemilihan Presiden 2024. #GanjarCapres https://t.co/b11fxkp5WX,1
122,#GanjarCapres: Keberhasilan Ganjar Pranowo dalam memimpin Jawa Tengah menunjukkan kemampuannya dalam mengelola pemerintahan dengan efektif. https://t.co/xcLIcQXGr4,1
123,. Pak @ganjarpranowo Mengerjakan dan Berhasil Soal Hunian Untuk Rakyat.  Ini Salah Satu Prestasi &amp  Kemampuan pak @ganjarpranowo dari sekian Banyak.  Kedekatan GANJAR kepada Rakyat gak perlu diragukan lagi. Terbukti !!  Ini Capres Aku. 🤗🥰  Capres klean Bagaimana Drun ? 🤣 . https://t.co/SzK6xrnKZE,1
124,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/hDYXc6OPE9,1
125,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/yyXjJQ1eUd,1
126,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/P6DG66eLXw,1
127,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/bxRYHgH2nE,1
128,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/QhijPnPfmB,1
129,Emak² di Banten deklarasi dukung Ganjar Pranowo Capres 2024 https://t.co/A0QcueRVUQ,1
130,Ganjar Pranowo capres 2024 idaman rakyat indonesia https://t.co/4E5TWBUEQk,1
131,Ribuan emak-emak di Banten deklarasi dukung Ganjar Pranowo Capres 2024 #GanjarPranowo https://t.co/Kkr97q6BaR,1
132,Program Besutan Ganjar Pranowo Berhasil Turunkan Angka Stunting di Jateng.  #GanjarPresiden #GanjarCapres https://t.co/pJaLq0UQ9X,1
133,Ganjar Pranowo Idola Baru Emak-Emak !!!!  #GanjarPresiden #GanjarCapres https://t.co/oVyj535VN1,1
134,PAPDESI Dukung Ganjar Jadi Presiden RI  #GanjarPresiden #GanjarCapres https://t.co/wH0cTU15nq,1
135,Ganjar Capres 2024 Idaman Rakyat Indonesia  #GanjarPresiden #GanjarCapres https://t.co/NxCqEt3T0Q,1
136,Gibran Pakai Baju Garis Garis Tunjukkan Ketegasan Allout Dukung Ganjar.  #GanjarPresiden #GanjarCapres https://t.co/Cq1FjTQlrU,1
137,Ribuan Emak-Emak Banten Deklarasi Dukung Ganjar Capres 2024.  #GanjarPresiden #GanjarCapres https://t.co/nfLfloorY0,1
138,Ganjar Pranowo capres 2024 idaman rakyat Indonesia https://t.co/ae0k7txncF,1
139,#GanjarCapres #GanjarPresiden #GanjarPeduliKesehatanRI #GanjarMenang #GanjarUntukSemua #GanjarPilihanRakyat #GanjarPresiden2024 https://t.co/PhY9G2wh2s,1
140,@Yurissa_Samosir @bos_sir @MuhiqR @NohCeukenohhh @Simanjunta9Nico @doelpaten @FajarHiday50462 @msaid_didu @AtokBadar75777 @choymarkochoy @DE_Sapta5 Hanya Anies yg lebih berkwalitas tanpa noda sebagai seorng capres Ganjar doyan bokep bermental korup krna masih gubernur kampanye Sana sini Prabowo pengkhianat kasus penculikan,0
141,Selamat Pa Ganjar Diusung Jadi CAPRES 2024 #GanjarCapres https://t.co/hT3hcH18tn,1
142,"@M45Broo Pak Ganjar masih the best, capres terkuat.....",1
143,"@AbangRudy21 Sepakat, Ganjar jika dipasangkan dgn Cak Imin maka tdk akan mungkin. Krn, PPP jg bisa mengusung Sandiaga Uno sbg Capres.",1
144,Ganjar Pranowo capres 2024 idaman rakyat Indonesia #GanjarPranowo #GanjarCapres2024 #GanjarUntukSemua #GanjarPresiden #GanjarCapres #GanjarPilihanRakyat #GanjarSosokTepatUntukRI #GanjarMenangTotal https://t.co/mncojdJsJl,1
145,"@MaturbongsTotie @Lembayung071 @prabowo Tapi boong dan Zonk, karena kadar otak GAnjar sudah terdeteksi menurun akibat kecaduan nonton vokev, ini kata survey resmi loh! BAhkan 86 % rakyat Indonesia tidak suka dengan CAPRES pemvokev, Hihii..Hiks! https://t.co/sEO9QfcN5J",0
146,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/cWvhXinwEt,1
147,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/4S6q83PjMc,1
148,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/JYr5eOhZLg,1
149,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/ei3wzbsxOn,1
150,Dukung Ganjar Pranowo Sebagai Capres RI 2024 #GanjarCapres https://t.co/NMp8fwy5AS,1
151,"Pribadi yang tegas,, Ganjar untuk Capres 2024 https://t.co/zrfVJ7F9mz",1
152,@Miduk17 Capres ko' kaya perangko sih.... Nempel di nama Jokowi aja... Gagasannya di sendiri apaan....? Saya dukung Ganjar Pranowo sebagai atlet lari antar kota antar propinsi..... Itu aja bisanya.. wkwkwkw,0
153,#GanjarPranowo #GanjarCapres #GanjarMenangTotal #GanjarJadikanRIMakinSejahtera #GanjarPresiden2024 #GarisHitamPutih #GenerasiGotongRoyong #SahabatGanjar #MenangkanGanjar #LanjutkanBersamaGanjar #GanjarMenangTotal #HitamPutihGanjar #PemiluSerentak2024 #Pilpres2024 https://t.co/BXteJFARig,1
154,"@Miduk17 Selain presiden Jokowi belom ada,dan sekarang giliran capres Ganjar,memang benar2 pilihan rakyat.",1
155,Pak Ganjar Pranowo adalah sosok yang Jujur #GanjarPranowo #Presiden2024 #Pemilu2024 #GanjarHebat #SobatGanjar #GanjarCapres https://t.co/M2xPsuzUk5,1
156,Ganjar Pranowo Sangat Tegas Dengan Anti Korupsi  #GanjarPresiden #GanjarCapres https://t.co/hDg3gM3kWm,1
157,Ganjar Pranowo Pemimpin Yang Anti Korupsi  #GanjarPresiden #GanjarCapres https://t.co/YwXuTR2rPa,1
158,Ganjar Pranowo Dukung Pencegahan Korupsi  #GanjarPresiden #GanjarCapres https://t.co/hard5i1EcM,1
159,Ganjar Pranowo Dukung Semangat Anti Korupsi  #GanjarPresiden #GanjarCapres https://t.co/5pxdMCDBgN,1
