,full_text,label,clean_text
41,Seluruh relawan Jokowi akan dukung penuh Ganjar Pranowo jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/jIbgqifOPL,1,rawan jokowi dukung penuh jadi presiden
42,Survei LPI Ganjar Pranowo Capres ideal pilihan milenial kampus #GanjarPresiden #GanjarCapres2024 https://t.co/PZyd94OFcr,1,survei lpi capres ideal pilih milenial kampus
44,"@KakekHalal Jangan sampe juga sejarah mencatat dgn tinta emas yg tertulis:  ganjar pranowo capres pencinta bokep"".""",0,sejarah catat tinta emas tulis capres cinta porno
45,Dedikasi dan integritas Ganjar Pranowo sebagai seorang pemimpin terlihat dari perjuangannya dalam mewujudkan program-program pro-rakyat.  #GanjarCapres https://t.co/3yLlOyuhrC,1,dedikasi integritas orang pimpin lihat juang wujud program program profesional rakyat
46,GanjarCapres Peduli terhadap Masyarakat https://t.co/arbLhS020u,1,ganjarcapres peduli masyarakat
48,Ganjar pranowo meriahkan acara tungguk tembakau festival 2023  #GanjarCapres    Rendy Kjaernett Lisa Mas Ian Umur 25 Jisoo Panji Gumilang WAIT WHAT Haein Jokowi Bajingan Tolol Dispatch https://t.co/zfBVUYjiYB,1,riah acara tungguk tembakau festival rendy kjaernett lisa mas ian umur jisoo panji gumilang wait what haein jokowi bajing tolol dispatch
49,Ganjar pranowo mendukung hasil panen tembakau bisa maksimal  #GanjarCapres    Rendy Kjaernett Lisa Mas Ian Umur 25 Jisoo Panji Gumilang WAIT WHAT Haein Jokowi Bajingan Tolol Dispatch https://t.co/U2J7dEe0l8,1,dukung hasil panen tembakau maksimal rendy kjaernett lisa mas ian umur jisoo panji gumilang wait what haein jokowi bajing tolol dispatch
50,@GunRomli @ganjarpranowo Insha Alloh pak ganjar capres 2024,1,insha allah pak capres
51,Blusukan Ganjar Demi Ciptakan Perubahan Bukan Demi Pencitraan  #GanjarCapres https://t.co/o1YMinHJtm,1,blusukan cipta ubah citra
52,Blusukan Ganjar di Jakarta Bentuk Pelayanan Rakyat  #GanjarCapres https://t.co/PUyqTtMxSb,1,blusukan jakarta bentuk layan rakyat
54,Blusukan Ke Jakarta Utara Ganjar Terima Aspirasi Air Bersih Hingga Akses Kesehatan  #GanjarPresiden #GanjarCapres https://t.co/8EZA0QcN7K,1,blusukan jakarta utara terima aspirasi air bersih akses sehat
55,Ganjar Milenial Center Banten Gelar Workshop Bersama Petani Muda Mandalawangi  #GanjarPresiden #GanjarCapres https://t.co/H6yVzm4ywY,1,milenial center banten gelar workshop tani muda mandalawangi
56,Ganjar Tegaskan Blusukan di Pasar Minggu Bukan Agenda Kampanye  #GanjarPresiden #GanjarCapres https://t.co/d5BBcNZn58,1,tegas blusukan pasar minggu agenda kampanye
57,Hebat !!!! Ganjar Blusukan di Jakarta  #GanjarPresiden #GanjarCapres https://t.co/vk0pRsC0nk,1,hebat blusukan jakarta
58,Ketua Umum Pemuda Muhammadiyah dukung Ganjar Pranowo jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/0egQYo7x3B,1,ketua umum pemuda muhammadiyah dukung jadi presiden
59,"@Joker_Wedoks @prabowo Lah tolol lu kan ngamuk2 Karen @budimandjatmiko @psi_id Deket sama pak Prabowo,,tuh gw krim gambar capres elu aja cengengesan siuban aka @ganjarpranowo sama pak Prabowo,,eh ini Mala dibales lain,,emang gila pendukung Ganjar ini 11-12 lu Ama kadrun,👎👎🤮🤮🤣🤣",0,tolol ngamuk karen pak krim gambar capres tertawa siuban kenal bagai pak eh mala dibales gila dukung kadrun
60,"@Amboiz76 @Gus_Raharjo Ganjar di hatiku. Bersih,  ramah,  tulus,  cinta rakyat dan NKRI. Wajahnya ceria, artinya tulus bersih. Tidak seperti wajah capres sono wajah complicated dan culas 🤣",1,hati bersih ramah tulus cinta rakyat nkri wajah ceria arti tulus bersih wajah capres sono wajah complicated culas
61,"Setuju, saya juga wajib pilih Ganjar Pranowo,demi masa depan bangsa dan anak cucu kita.   Murni berdasarkan nurani,pemikiran dan penglihatan sendiri. Dari 3 capres saat ini hanya pak Ganjar lah yg bisa meneruskan kinerja pak Jokowi. Yg pasti bukan karena bang @Dennysiregar7😃😄😂",1,tuju wajib pilih masa bangsa anak cucu murni dasar nurani pikir lihat capres pak terus kerja pak jokowi mas
62,Ganjar Pranowo capres pilihan generasi muda https://t.co/XKuw7IBbtC,1,capres pilih generasi muda
66,"@Miduk17 Ini orang aneh bin bloon, masa mau bandingin gubernur ibukota sama dengan gubernur di daerah yg daerahnya pedesaan...drpad copras capres...mendingan ganjar suruh buktikan dulu mimpin Jakarta.. Bisa gak?? Nah kalo emang sukses baru maju jadi Capres! Itu baru fair...hehehe",0,orang aneh bin bloon masa banding gubernur ibukota gubernur daerah daerah desa drpad copras capres mending suruh bukti mimpin jakarta sukses baru maju jadi capres baru fair hehehe
67,"@ganjarpranowo Waaaw mantap pa capres ku ini ,,, Ganjar Pranowo yes 2 periode ya 2024 - 2029",1,waaaw mantap capres ku yes periode iya
69,Ganjar Pranowo calon Presiden 2024 pilihan rakyat  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/6xnYthhkuK,1,calon presiden pilih rakyat
70,Elektabilitas Ganjar Pranowo selalu unggul untuk jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/Ha8hM6m6AV,1,elektabilitas unggul jadi presiden
71,Generasi muda Riau dukung Ganjar Pranowo jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/EQfOqgEEEW,1,generasi muda riau dukung jadi presiden
72,Gibran dan Luhut Bocorkan Capres Pilihan Jokowi   #prabowo atau Ganjar ?  Link: https://t.co/VtfEL1J6y1 https://t.co/GitH8fel8r,1,gibran luhut bocor capres pilih jokowi link
73,Dukung penuh pak ganjar pranowo untuk Indonesia lebih baik. #GanjarCapres https://t.co/XKBXVqXWbm,1,dukung penuh pak indonesia baik
74,Pak ganjar pranowo bersama rakyat #GanjarCapres https://t.co/dnLdwdjL7C,1,pak rakyat
75,Pak ganjar pranowo peduli rakyat #GanjarCapres https://t.co/xAIEEuu2EK,1,pak peduli rakyat
76,Pak ganjar pranowo peduli rakyat Indonesia #GanjarCapres https://t.co/Pn9uIGuNpp,1,pak peduli rakyat indonesia
78,#GanjarCapres Sosok Pemimpin Idola Masyarakat. Kami cinta ganjar pranowo https://t.co/U3hc1o3YHC,1,sosok pimpin idola masyarakat cinta
79,#GanjarCapres Ketegasan Seorang Ganjar Pranowo https://t.co/l4t7c143nb,1,tegas orang
80,#GanjarCapres ganjar pranowo Pemimpin Berwibawa https://t.co/zA0M9gnwzh,1,pimpin wibawa
81,Ganjar Capres ideal pilihan mahasiswa #GanjarBawaKemajuan #GanjarFor2024 #DukungGanjar https://t.co/0Rr9SYO7rc,1,capres ideal pilih mahasiswa
82,Ganjar melesat salip Prabowo! #GanjarPranowo #GanjarCapres2024 #GanjarUntukSemua #GanjarPresiden #GanjarCapres #GanjarPilihanRakyat #GanjarSosokTepatUntukRI #GanjarMenangTotal https://t.co/8svIerTEmH,1,lesat salip
83,Ganjar Capres Ideal https://t.co/NUs4StH39L,1,capres ideal
88,"Suka atau tidak suka, percaya boleh ndak jg boleh Pada akhirnya memang hanya ada dua capres, ganjar out ditengah jalan, itu kompromi elit2 di negeri ini Anies head to head dgn Prabowo.",0,suka suka percaya akhir capres out tengah jalan kompromi elit negeri head tryout head
89,Sudah sewajarnya kita dukung pak Ganjar Pranowo  #GanjarCapres https://t.co/0wSVWklG4w,1,wajar dukung pak
91,Ganjar Pranowo calon Presiden 2024 pilihan Milenial  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/n6TgKPqMvZ,1,calon presiden pilih milenial
92,Ganjar Pranowo dukung penuh upaya Presiden Jokowi hilirisasi Nikel dan siap melanjutkannya #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/VorcC7CuYf,1,dukung penuh upaya presiden jokowi hilir nikel siap lanjut
93,Tanpa adanya survei pun publik luas tau klo Jokowi pasti dukung Ganjar Pranowo.. Capres terbaik dari semua kandidat 🔥🔥 #GanjarPresiden #GanjarMenang  #GanjarPenuhPrestasi Tidur Malming Banjingan Tolol Mason Mount Malam Minggu Siwon Onana Tinggi #gear5 Garnacho #Gempa https://t.co/yGGOIzMZgN,1,survei publik luas tahu jokowi dukung capres baik kandidat tidur malam minggu banjingan tolol mason mount malam minggu siwon onana tinggi garnacho
94,Ganjar capres idaman https://t.co/YB4cI9w0KP,1,capres idam
100,"@ch_chotimah2 @ganjarpranowo Tatkala ditanya : Apa prestasi Pak @ganjarpranowo, coba beri satu contoh saja"".  Relawan GP : ""Pak Ganjar menjadi capres itu ditunjuk oleh Ketua Umum, jadi harus kita dukung"". Wakakakakak""",0,tatkala tanya prestasi pak coba beri satu contoh rawan gp pak jadi capres tunjuk ketua umum jadi dukung wakakakakak
101,@MichelAdam7__ Yg waras pasti pilih Anies kecuali ada yg lebih baik dri Anies klo Prabowo jelas akan melanjutkan sgla kebijkn jkw yg mrugikan rkyt ! Ganjar ! Bapak doyan nonton bokep! Masih menjabat gubernur kampanye capres bknkah menunjukkan Ganjar bermental korup??,0,waras pilih baik jelas lanjut kebijkn jokowi mrugikan rkyt bapak doyan tonton porno jabat gubernur kampanye capres bknkah tunjuk mental korupsi
108,"@Dennysiregar7 Menurut saya, Ganjar yg terbaik dibanding capres yang lain. PDI-P yg paling nasionalis. Kalau ada oknumnya yg korupsi, ya namanya maling, suka nyusup kemana-mana",1,baik banding capres pdi p nasionalis oknum korupsi iya nama maling suka nyusup
109,Ganjar Pranowo Dukung Penuh Upaya Jokowi Hirilisasi Industri Nikel! #GanjarCapres https://t.co/mpjJCk20HF,1,dukung penuh upaya jokowi hirilisasi industri nikel
111,Ganjar Apresiasi Program Hirilisasi Nikel dan Akan Melanjutkannya! #GanjarCapres https://t.co/YWhZnMZoYM,1,apresiasi program hirilisasi nikel lanjut
113,Mantap Pak Ganjar Pranowo ! Maju teruss! Kami mendukungmu! #GanjarCapres #GanjarBeriKesejahteraan #ganjarpresiden2024. https://t.co/r4pAWxQUvh,1,mantap pak maju terus dukung
118,"Rakyat mendukung dan mengangkat Pak @ganjarpranowo sebagai Capres, terus moga2 Presiden meneruskan Pak Jokowi,   minta Pak Ganjar setia ANTI KORUPSI dan LAWAN INTOLERANSI RADIKALISME, terus bangun seluruh Indonesia  Tapi, partai2 udah lihat dukungan rakyat lantas mau nyebut jasa?",1,rakyat dukung angkat pak capres terus moga presiden terus pak jokowi minta pak setia anti korupsi lawan intoleransi radikalisme terus bangun indonesia partai lihat dukung rakyat lantas nyebut jasa
119,#GanjarCapres: Keberpihakan Ganjar Pranowo terhadap kaum marginal dan kemampuannya dalam mengatasi kesenjangan sosial menjadikannya calon presiden yang progresif. https://t.co/xacqGd5mnm,1,pihak kaum marginal atas senjang sosial jadi calon presiden progresif
120,"Kepemimpinan Ganjar Pranowo yang adil, transparan, dan akuntabel menjadikannya sebagai calon presiden yang berintegritas. #GanjarCapres https://t.co/5CtMlgYmKu",1,pimpin adil transparan akuntabel jadi calon presiden integritas
121,Dukungan yang luas dari berbagai kalangan masyarakat menunjukkan bahwa Ganjar Pranowo memiliki potensi untuk menjadi calon presiden terbaik dalam Pemilihan Presiden 2024. #GanjarCapres https://t.co/b11fxkp5WX,1,dukung luas kalang masyarakat tunjuk milik potensi jadi calon presiden baik pilih presiden
122,#GanjarCapres: Keberhasilan Ganjar Pranowo dalam memimpin Jawa Tengah menunjukkan kemampuannya dalam mengelola pemerintahan dengan efektif. https://t.co/xcLIcQXGr4,1,hasil pimpin jawa tengah tunjuk kelola perintah efektif
123,. Pak @ganjarpranowo Mengerjakan dan Berhasil Soal Hunian Untuk Rakyat.  Ini Salah Satu Prestasi &amp  Kemampuan pak @ganjarpranowo dari sekian Banyak.  Kedekatan GANJAR kepada Rakyat gak perlu diragukan lagi. Terbukti !!  Ini Capres Aku. 🤗🥰  Capres klean Bagaimana Drun ? 🤣 . https://t.co/SzK6xrnKZE,1,pak kerja hasil soal huni rakyat salah satu prestasi amp pak sekian rakyat perlu ragu bukti capres capres klean drun
129,Emak² di Banten deklarasi dukung Ganjar Pranowo Capres 2024 https://t.co/A0QcueRVUQ,1,emak banten deklarasi dukung capres
130,Ganjar Pranowo capres 2024 idaman rakyat indonesia https://t.co/4E5TWBUEQk,1,capres idam rakyat indonesia
131,Ribuan emak-emak di Banten deklarasi dukung Ganjar Pranowo Capres 2024 #GanjarPranowo https://t.co/Kkr97q6BaR,1,ribu emak emak banten deklarasi dukung capres
132,Program Besutan Ganjar Pranowo Berhasil Turunkan Angka Stunting di Jateng.  #GanjarPresiden #GanjarCapres https://t.co/pJaLq0UQ9X,1,program besut hasil turun angka stunting jateng
133,Ganjar Pranowo Idola Baru Emak-Emak !!!!  #GanjarPresiden #GanjarCapres https://t.co/oVyj535VN1,1,idola baru emak emak
134,PAPDESI Dukung Ganjar Jadi Presiden RI  #GanjarPresiden #GanjarCapres https://t.co/wH0cTU15nq,1,papdesi dukung jadi presiden ri
136,Gibran Pakai Baju Garis Garis Tunjukkan Ketegasan Allout Dukung Ganjar.  #GanjarPresiden #GanjarCapres https://t.co/Cq1FjTQlrU,1,gibran pakai baju garis garis tunjuk tegas allout dukung
139,#GanjarCapres #GanjarPresiden #GanjarPeduliKesehatanRI #GanjarMenang #GanjarUntukSemua #GanjarPilihanRakyat #GanjarPresiden2024 https://t.co/PhY9G2wh2s,1,
140,@Yurissa_Samosir @bos_sir @MuhiqR @NohCeukenohhh @Simanjunta9Nico @doelpaten @FajarHiday50462 @msaid_didu @AtokBadar75777 @choymarkochoy @DE_Sapta5 Hanya Anies yg lebih berkwalitas tanpa noda sebagai seorng capres Ganjar doyan bokep bermental korup krna masih gubernur kampanye Sana sini Prabowo pengkhianat kasus penculikan,0,berkwalitas noda seorng capres doyan porno mental korupsi gubernur kampanye khianat kasus culi
141,Selamat Pa Ganjar Diusung Jadi CAPRES 2024 #GanjarCapres https://t.co/hT3hcH18tn,1,selamat usung jadi capres
142,"@M45Broo Pak Ganjar masih the best, capres terkuat.....",1,pak the best capres kuat
143,"@AbangRudy21 Sepakat, Ganjar jika dipasangkan dgn Cak Imin maka tdk akan mungkin. Krn, PPP jg bisa mengusung Sandiaga Uno sbg Capres.",1,sepakat pasang cak imin ppp usung sandiaga uno capres
145,"@MaturbongsTotie @Lembayung071 @prabowo Tapi boong dan Zonk, karena kadar otak GAnjar sudah terdeteksi menurun akibat kecaduan nonton vokev, ini kata survey resmi loh! BAhkan 86 % rakyat Indonesia tidak suka dengan CAPRES pemvokev, Hihii..Hiks! https://t.co/sEO9QfcN5J",0,bohong bodoh kadar otak deteksi turun akibat kecaduan tonton vokev kata survey resmi loh rakyat indonesia suka capres pemvokev hihii hiks
151,"Pribadi yang tegas,, Ganjar untuk Capres 2024 https://t.co/zrfVJ7F9mz",1,pribadi tegas capres
152,@Miduk17 Capres ko' kaya perangko sih.... Nempel di nama Jokowi aja... Gagasannya di sendiri apaan....? Saya dukung Ganjar Pranowo sebagai atlet lari antar kota antar propinsi..... Itu aja bisanya.. wkwkwkw,0,capres kayak perangko sih tempel nama jokowi gagas dukung atlet lari kota propinsi wkwkwkw
154,"@Miduk17 Selain presiden Jokowi belom ada,dan sekarang giliran capres Ganjar,memang benar2 pilihan rakyat.",1,presiden jokowi gilir capres benar pilih rakyat
155,Pak Ganjar Pranowo adalah sosok yang Jujur #GanjarPranowo #Presiden2024 #Pemilu2024 #GanjarHebat #SobatGanjar #GanjarCapres https://t.co/M2xPsuzUk5,1,pak sosok jujur
156,Ganjar Pranowo Sangat Tegas Dengan Anti Korupsi  #GanjarPresiden #GanjarCapres https://t.co/hDg3gM3kWm,1,tegas anti korupsi
157,Ganjar Pranowo Pemimpin Yang Anti Korupsi  #GanjarPresiden #GanjarCapres https://t.co/YwXuTR2rPa,1,pimpin anti korupsi
158,Ganjar Pranowo Dukung Pencegahan Korupsi  #GanjarPresiden #GanjarCapres https://t.co/hard5i1EcM,1,dukung cegah korupsi
159,Ganjar Pranowo Dukung Semangat Anti Korupsi  #GanjarPresiden #GanjarCapres https://t.co/5pxdMCDBgN,1,dukung semangat anti korupsi
160,ICW : Keberanian Ganjar Berantas Korupsi Mesti Ditiru Kepala Daerah Lain  #GanjarPresiden #GanjarCapres https://t.co/UaFSc7LjXD,1,icw berani berantas korupsi mesti tiru kepala daerah
161,"Pemimpin Bernyali Ganjar Pranowo"" Tak Ada Ruang Bagi Pungli  #GanjarPresiden #GanjarCapres https://t.co/pmYaAj10GJ""",1,pimpin nyali ruang pungli
162,Kejujuran Ganjar Membuat Bersikap Tegas Untuk Berantas Korupsi  #GanjarPresiden #GanjarCapres https://t.co/5M3W1qFFDI,1,jujur sikap tegas berantas korupsi
163,Ganjar Pegang Prinsip Kejujuran Diatas Segalanya   #GanjarPresiden #GanjarCapres https://t.co/5EOo96UvJu,1,pegang prinsip jujur atas
164,Ganjar Pranowo Anti Korupsi Pemimpin Jujur  #GanjarPresiden #GanjarCapres https://t.co/e1ltFalDZe,1,anti korupsi pimpin jujur
165,Ganjar Jujur   #GanjarPresiden #GanjarCapres https://t.co/ZOpshwVroJ,1,jujur
166,Ganjar Pranowo pemimpin yang cepat tanggap dan peduli dengan rakyat   #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/M78VGLpbNW,1,pimpin cepat tanggap peduli rakyat
